24320088	2021-07-19T22:58:31.000Z	1417257572575457281	My kid (a.k.a. Thing 0) on finding her wedding dress (no, you can't see it). 	{'place_id': '227d358f6ed8d29e'}
2791124550	2021-07-19T21:14:09.000Z	1417231306463793160	Me, this Saturday after saying, “I do.”  	{'place_id': '1d9a5370a355ab0c'}
29905725	2021-07-19T20:46:08.000Z	1417224257382268940	i'm not looking forward to the gym today	{'place_id': '1d9a5370a355ab0c'}
111654358	2021-07-19T19:50:22.000Z	1417210223098535937	Would read an entire book about Rosalie slaying the men who assaulted and left her for dead dressed in her wedding dress. 	{'place_id': '1d9a5370a355ab0c'}
43913978	2021-07-19T19:05:15.000Z	1417198871248347140	We just passed our health inspection, chopped it up with inspector afterwards and pretty sure after hearing these stories I’ll never eat out again from anywhere I don’t know the owner or people in the kitchen. 🤮🤮🤮🤮🤮	{'place_id': '1d9a5370a355ab0c'}
246820591	2021-07-19T18:17:28.000Z	1417186844630978566	 this is genius . i’m gonna do this for my wedding except the must plays will just be all my decision x	{'place_id': '1d9a5370a355ab0c'}
330031602	2021-07-19T17:53:03.000Z	1417180699937882117	Live footage of  & I showing up at Ryan & Sabrina’s wedding Saturday. 	{'place_id': '1d9a5370a355ab0c'}
154782720	2021-07-19T15:37:33.000Z	1417146599894142977	Rushing to a bar to see a walkoff or buzzer beater you just saw &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; 	{'place_id': '1d9a5370a355ab0c'}
233008316	2021-07-19T15:20:22.000Z	1417142277835739138	 The good folks over  are providing the space, music, photographer + beer for you to celebrate your special day w the Barrels of Love Contest. Now through July 0th. Send in your love letter to win a Wedding Reception at Goose Barrel Warehouse.	{'place_id': '1d9a5370a355ab0c'}
1283058298321764354	2021-07-19T15:16:51.000Z	1417141393030467587	Take me on a date I’m not pulling up ‼️	{'place_id': '1d9a5370a355ab0c'}
23258054	2021-07-19T13:47:35.000Z	1417118927264550917	Omg. My amazing son! I woke up early this morning headed to a spa appointment as my 0yr old son and I are on a little getaway and while he is asleep, he reminds where the spa is located so I don’t get lost. 🥰 I love this little boy. ❤️❤️❤️	{'place_id': '1d9a5370a355ab0c'}
467172010	2021-07-19T12:22:19.000Z	1417097470228717574	Need to go shopping for my trips ☹️	{'place_id': '1d9a5370a355ab0c'}
1078777472945131520	2021-07-19T05:27:17.000Z	1416993023393767424	Thought I was going to a bar the mf close at 0 🙄	{'place_id': 'e81d7291bd2ba45e'}
192082047	2021-07-19T04:43:20.000Z	1416981960438784001	Never go to a restaurant that serves tapas hungry… that food just scratched the surface for $0 🤦🏽‍♀️😂	{'place_id': '1d9a5370a355ab0c'}
1236349921911017472	2021-07-19T01:46:56.000Z	1416937567849783301	After a day of photos… it’s time for a drink at 0 dots and a dash, a tiki staple, with  and  	{'place_id': '1d9a5370a355ab0c'}
2342130810	2021-07-19T00:53:44.000Z	1416924179262214145	Just finished! The 0-tier tray 💕 This was a wedding gift for someone. Flowers are from the garden (rose, fern, morning glory, cabbage and peony). 💐🧁 	{'place_id': 'e363b61fbd793d7d'}
380067968	2021-07-19T00:08:04.000Z	1416912689880870914	"Kurnnnnnnnnn! 😂😂😂😂 Not the PAWN SHOP! Not, ""When is YOUR wedding?"" 😂 Get 'emmmmm!   "	{'place_id': '1d9a5370a355ab0c'}
278875717	2021-07-19T00:07:04.000Z	1416912436569985029	 My entire family is from Joplin, MO (I grew up in Kansas City) and it pains me to watch what’s going on there. I’m supposed to travel there next month for a wedding where the groom has refused to get vaxxed…I’ve been fully vaxxed since May but will likely still wear a mask	{'place_id': '1d9a5370a355ab0c'}
228241012	2021-07-19T00:00:17.000Z	1416910729211518984	Expect wedding invitations soon everybody 	{'place_id': 'd73cbce54317ffaa'}
583326719	2021-07-20T22:41:19.000Z	1417615631906709506	I never realize how much I hate myself until I go shopping 😖	{'place_id': 'c5be6cc8c8fd4263'}
1399870242965405702	2021-07-20T22:17:05.000Z	1417609533850017793	having a karaoke wedding and youre invite based off of if your karaoke song idea is cool	{'place_id': '1d9a5370a355ab0c'}
2738813435	2021-07-20T21:28:41.000Z	1417597355184967683	 Oh, it was Burger Bar, less then a block from my building. It is a restaurant, they do orders for pickup/delivery pretty well, but honestly, I’d want to have it when it’s hot and fresh. There’s always an open invite as I’m usually looking for an excuse to eat out! 	{'place_id': '1d9a5370a355ab0c'}
36193803	2021-07-20T21:03:56.000Z	1417591124311506945	 SVG out during my bachelor party, Willie Green identified as his replacement during wedding weekend 🙃	{'place_id': '1d9a5370a355ab0c'}
864313968554364929	2021-07-20T20:47:08.000Z	1417586895647805443	  All good, we've been wanting to do a housewarming/wedding feast/now baby feast for a minute but have been too busy lol. I'll keep y'all posted	{'place_id': '1d9a5370a355ab0c'}
1030906631884664833	2021-07-20T18:45:37.000Z	1417556315119915010	i’m going to the mall to look for some white ones, pray for me.	{'place_id': '9458deb79984da4e'}
2777976857	2021-07-20T17:48:51.000Z	1417542029538627591	I have a wedding to go to this weekend and it’s gonna be one big high school reunion. 	{'place_id': '1d9a5370a355ab0c'}
1365492202860908545	2021-07-20T16:04:18.000Z	1417515719491825671	We are excited to host the  Meetup group for the first time at imnotArt Chicago!Who will be joining us today to talk about all things ETH?! 	{'place_id': '1d9a5370a355ab0c'}
274136314	2021-07-20T14:55:50.000Z	1417498491685851146	FINALLY...one of my LBs is getting married!I haven't been to a wedding in like 0 years. 😂	{'place_id': '1d9a5370a355ab0c'}
49065233	2021-07-20T13:24:31.000Z	1417475510041550853	Good Morning! All of the drinking and partying negatively impacted my workout today!  I'm grateful that I made it to the gym though! How y'all feeling today?	{'place_id': '1d9a5370a355ab0c'}
1371517275929513988	2021-07-20T12:30:07.000Z	1417461819363536901	Been a while since I've been to an art show, I'd love to go on a date! 	{'place_id': 'cdf74b55fc0d4600'}
