384204031	2020-12-14T23:08:22.000Z	1338621885844602881	Who tf goes to the gym twice in one day? Of yeah that’s right, me	{'place_id': 'b0b79caecef59fb5'}
893537026883977218	2020-12-14T22:28:04.000Z	1338611744491466752	Just tested negative for covid after having private workouts, going to the gym and working out everyday with my high school team for the last 0 months. 	{'place_id': '3b77caf94bfc81fe'}
1164943705	2020-12-14T21:24:08.000Z	1338595653899829248	Not sure if you’re trynna chill as friends or take me on a date 🤔 instructions unclear	{'place_id': '01c060cf466c6ce3'}
142221726	2020-12-14T20:51:53.000Z	1338587536394911745	Hmmm we’re at that point in quarantine where you’ll see lotta people getting engaged. You’re not fooling anyone, we all know it’s a shotgun wedding.	{'place_id': '3b77caf94bfc81fe'}
508253642	2020-12-14T20:40:20.000Z	1338584631830966272	Bro these wedding speeches are killing me	{'place_id': '3b77caf94bfc81fe'}
830665152802402304	2020-12-14T20:28:03.000Z	1338581539790094336	if we go on a date and u don’t naturally open the door, we will never go on a date again 🤷🏾‍♀️	{'place_id': '59612bd882018c51'}
28362942	2020-12-14T20:11:07.000Z	1338577278406512642	   The spikes coincide with holidays and holiday travel. Not with eating out or other outdoor activities.	{'place_id': '3b77caf94bfc81fe'}
102827584	2020-12-14T19:54:43.000Z	1338573149902761984	One of our wedding guests ☺️ has an amazing bf too. 💖  💖 	{'place_id': '3b77caf94bfc81fe'}
319429486	2020-12-14T19:38:35.000Z	1338569092278616064	I bought waterproof mascara specifically for  ‘s wedding. I’m already crying.	{'place_id': 'c1e1a49e92ce1ba0'}
588019992	2020-12-14T19:28:10.000Z	1338566471266398208	I’m not even friends with  😂 but I’m excited for her wedding 💜😂	{'place_id': '35fea2c31d822962'}
1095355988746559488	2020-12-14T19:09:09.000Z	1338561683179012096	 my husband and I left the Republican Party today in protest of what you have allowed trump to do. I will not belong to a party that supports a criminal	{'place_id': '905627646db90fef'}
1035623026295943168	2020-12-14T18:45:01.000Z	1338555610791440387	     Obama killed tens of thousands of people in drone strikes.  Thousands of innocents.  Wedding parties all over the Middle East.  Trump could never catch up to him!	{'place_id': 'd07feb9e5b1ce37c'}
